DatabaseName,growth,is_percent_growth,is_read_only,max_size,name,physical_name,ServerName,size,state_desc,type_desc
master,10,True,False,-1,master,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\master.mdf,PA01WJSHURAK03,568,ONLINE,ROWS
master,10,True,False,-1,mastlog,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\mastlog.ldf,PA01WJSHURAK03,256,ONLINE,LOG
tempdb,8192,False,False,-1,tempdev,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\tempdb.mdf,PA01WJSHURAK03,1024,ONLINE,ROWS
tempdb,8192,False,False,-1,templog,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\templog.ldf,PA01WJSHURAK03,1024,ONLINE,LOG
tempdb,8192,False,False,-1,temp2,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_2.ndf,PA01WJSHURAK03,1024,ONLINE,ROWS
tempdb,8192,False,False,-1,temp3,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_3.ndf,PA01WJSHURAK03,1024,ONLINE,ROWS
tempdb,8192,False,False,-1,temp4,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_4.ndf,PA01WJSHURAK03,1024,ONLINE,ROWS
model,128,False,False,-1,modeldev,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\model.mdf,PA01WJSHURAK03,288,ONLINE,ROWS
model,10,True,False,-1,modellog,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\modellog.ldf,PA01WJSHURAK03,96,ONLINE,LOG
msdb,10,True,False,-1,MSDBData,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\MSDBData.mdf,PA01WJSHURAK03,2072,ONLINE,ROWS
msdb,10,True,False,268435456,MSDBLog,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\MSDBLog.ldf,PA01WJSHURAK03,96,ONLINE,LOG
NGProd,128,False,False,-1,NGProd,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\NGProd.mdf,PA01WJSHURAK03,384,ONLINE,ROWS
NGProd,10,True,False,268435456,NGProd_log,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\NGProd_log.ldf,PA01WJSHURAK03,395504,ONLINE,LOG
TDE_Test,128,False,False,-1,TDE_Test,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\TDE_Test.mdf,PA01WJSHURAK03,5792,ONLINE,ROWS
TDE_Test,10,True,False,268435456,TDE_Test_log,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\TDE_Test_log.ldf,PA01WJSHURAK03,3088,ONLINE,LOG
tde_test_compress,128,False,False,-1,TDE_Test,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\TDE_Test_compress.mdf,PA01WJSHURAK03,5792,ONLINE,ROWS
tde_test_compress,10,True,False,268435456,TDE_Test_log,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\TDE_Test_log_compress.ldf,PA01WJSHURAK03,3088,ONLINE,LOG
tpcc,128,False,False,-1,tpcc,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\tpcc.mdf,PA01WJSHURAK03,14240,ONLINE,ROWS
tpcc,10,True,False,268435456,tpcc_log,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\tpcc_log.ldf,PA01WJSHURAK03,3088,ONLINE,LOG
SHAMU,128,False,False,-1,SHAMU,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\SHAMU.mdf,PA01WJSHURAK03,416,ONLINE,ROWS
SHAMU,10,True,False,268435456,SHAMU_log,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\SHAMU_log.ldf,PA01WJSHURAK03,72,ONLINE,LOG
master,10,True,False,-1,master,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\master.mdf,PA01WJSHURAK03\SQL14,512,ONLINE,ROWS
master,10,True,False,-1,mastlog,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\mastlog.ldf,PA01WJSHURAK03\SQL14,256,ONLINE,LOG
tempdb,10,True,False,-1,tempdev,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\tempdb.mdf,PA01WJSHURAK03\SQL14,1240,ONLINE,ROWS
tempdb,10,True,False,-1,templog,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\templog.ldf,PA01WJSHURAK03\SQL14,128,ONLINE,LOG
model,128,False,False,-1,modeldev,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\model.mdf,PA01WJSHURAK03\SQL14,408,ONLINE,ROWS
model,10,True,False,-1,modellog,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\modellog.ldf,PA01WJSHURAK03\SQL14,96,ONLINE,LOG
msdb,10,True,False,-1,MSDBData,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\MSDBData.mdf,PA01WJSHURAK03\SQL14,10200,ONLINE,ROWS
msdb,10,True,False,268435456,MSDBLog,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\MSDBLog.ldf,PA01WJSHURAK03\SQL14,3352,ONLINE,LOG
sql14,128,False,False,-1,sql14,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\sql14.mdf,PA01WJSHURAK03\SQL14,792,ONLINE,ROWS
sql14,10,True,False,268435456,sql14_log,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\sql14_log.ldf,PA01WJSHURAK03\SQL14,96344,ONLINE,LOG
AdventureWorks2008,2048,False,False,-1,AdventureWorks2008_Data,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\AdventureWorks2008_Data.mdf,PA01WJSHURAK03\SQL14,24904,ONLINE,ROWS
AdventureWorks2008,2048,False,False,268435456,AdventureWorks2008_Log,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\AdventureWorks2008_Log.ldf,PA01WJSHURAK03\SQL14,2304,ONLINE,LOG
tpcc,128,False,False,-1,tpcc,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\tpcc.mdf,PA01WJSHURAK03\SQL14,19608,ONLINE,ROWS
tpcc,10,True,False,268435456,tpcc_log,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\tpcc_log.ldf,PA01WJSHURAK03\SQL14,3400,ONLINE,LOG
AMR_DWH,6400,False,False,-1,AMR_DWH,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\AMR_DWH.mdf,PA01WJSHURAK03\SQL14,249600,ONLINE,ROWS
AMR_DWH,1280,False,False,268435456,AMR_DWH_log,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\AMR_DWH_log.ldf,PA01WJSHURAK03\SQL14,2560,ONLINE,LOG
Shamu,128,False,False,-1,Shamu,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\Shamu.mdf,PA01WJSHURAK03\SQL14,512,ONLINE,ROWS
Shamu,10,True,False,268435456,Shamu_log,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\Shamu_log.ldf,PA01WJSHURAK03\SQL14,128,ONLINE,LOG
test08r2,128,False,False,-1,test08r2,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\test08r2.mdf,PA01WJSHURAK03\SQL14,408,ONLINE,ROWS
test08r2,10,True,False,268435456,test08r2_log,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14\MSSQL\DATA\test08r2_log.ldf,PA01WJSHURAK03\SQL14,102,ONLINE,LOG
master,10,True,False,-1,master,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14A\MSSQL\DATA\master.mdf,PA01WJSHURAK03\SQL14A,512,ONLINE,ROWS
master,10,True,False,-1,mastlog,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14A\MSSQL\DATA\mastlog.ldf,PA01WJSHURAK03\SQL14A,256,ONLINE,LOG
tempdb,10,True,False,-1,tempdev,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14A\MSSQL\DATA\tempdb.mdf,PA01WJSHURAK03\SQL14A,1024,ONLINE,ROWS
tempdb,10,True,False,-1,templog,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14A\MSSQL\DATA\templog.ldf,PA01WJSHURAK03\SQL14A,96,ONLINE,LOG
model,128,False,False,-1,modeldev,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14A\MSSQL\DATA\model.mdf,PA01WJSHURAK03\SQL14A,408,ONLINE,ROWS
model,10,True,False,-1,modellog,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14A\MSSQL\DATA\modellog.ldf,PA01WJSHURAK03\SQL14A,96,ONLINE,LOG
msdb,10,True,False,-1,MSDBData,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14A\MSSQL\DATA\MSDBData.mdf,PA01WJSHURAK03\SQL14A,2192,ONLINE,ROWS
msdb,10,True,False,268435456,MSDBLog,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14A\MSSQL\DATA\MSDBLog.ldf,PA01WJSHURAK03\SQL14A,3352,ONLINE,LOG
testdb,128,False,False,-1,testdb,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14A\MSSQL\DATA\testdb.mdf,PA01WJSHURAK03\SQL14A,408,ONLINE,ROWS
testdb,10,True,False,268435456,testdb_log,C:\Program Files\Microsoft SQL Server\MSSQL12.SQL14A\MSSQL\DATA\testdb_log.ldf,PA01WJSHURAK03\SQL14A,102,ONLINE,LOG
