AvgRes_Sec,AvgSig_Sec,AvgWait_Sec,Resource_Sec,ServerName,Signal_Sec,WaitType,Wait_Count,Wait_Percentage,Wait_Sec
0.0000,0.0000,0.0000,269.39,PA01WJSHURAK03,0.00,PREEMPTIVE_XE_CALLBACKEXECUTE,184223153,42.02,269.39
0.0010,0.0000,0.0010,147.87,PA01WJSHURAK03,0.03,THREADPOOL,141724,23.07,147.90
0.0000,0.0000,0.0000,99.13,PA01WJSHURAK03,0.00,MEMORY_ALLOCATION_EXT,46684831,15.46,99.13
0.0066,0.0000,0.0066,62.16,PA01WJSHURAK03,0.00,PREEMPTIVE_OS_WRITEFILE,9396,9.69,62.16
0.0005,0.0000,0.0005,28.96,PA01WJSHURAK03,0.00,PREEMPTIVE_OS_AUTHENTICATIONOPS,61258,4.52,28.96
0.0010,0.0000,0.0010,10.16,PA01WJSHURAK03,0.00,PREEMPTIVE_OS_QUERYREGISTRY,9799,1.58,10.16
0.0000,0.0002,0.0002,0.12,PA01WJSHURAK03,6.26,SOS_SCHEDULER_YIELD,25593,1.00,6.38
0.2990,0.0000,0.2990,5.68,PA01WJSHURAK03,0.00,PREEMPTIVE_OS_SQMLAUNCH,19,0.89,5.68
0.0003,0.0000,0.0003,2.73,PA01WJSHURAK03,0.00,PREEMPTIVE_OS_REPORTEVENT,9519,0.43,2.73
0.0006,0.0000,0.0006,1.39,PA01WJSHURAK03,0.03,PAGEIOLATCH_SH,2471,0.22,1.41
0.1995,0.0000,0.1995,1.20,PA01WJSHURAK03,0.00,LCK_M_S,6,0.19,1.20
174.6663,0.0001,174.6664,1389819.92,PA01WJSHURAK03\SQL14,0.51,QDS_SHUTDOWN_QUEUE,7957,92.78,1389820.43
0.1856,0.0003,0.1859,101096.77,PA01WJSHURAK03\SQL14,171.38,WRITELOG,544691,6.76,101268.15
71.1196,0.0000,71.1197,11165.78,PA01WJSHURAK03\SQL14A,0.01,QDS_SHUTDOWN_QUEUE,157,99.96,11165.79
